Column #	gene_assignment	Gene Symbol	RefSeq	Transcript ID	p-value(Subtype-golden)	p-value(Classical-line vs. B10)	Ratio(Classical-line vs. B10)	Fold-Change(Classical-line vs. B10)	Fold-Change(Classical-line vs. B10) (Description)	p-value(Mesenchymal-line vs. B10)	Ratio(Mesenchymal-line vs. B10)	Fold-Change(Mesenchymal-line vs. B10)	Fold-Change(Mesenchymal-line vs. B10) (Description)	p-value(Proneural-line vs. B10)	Ratio(Proneural-line vs. B10)	Fold-Change(Proneural-line vs. B10)	Fold-Change(Proneural-line vs. B10) (Description)	p-value(Classical-tex vs. TOTBRAIN)	Ratio(Classical-tex vs. TOTBRAIN)	Fold-Change(Classical-tex vs. TOTBRAIN)	Fold-Change(Classical-tex vs. TOTBRAIN) (Description)	p-value(Mesenchymal-tex vs. TOTBRAIN)	Ratio(Mesenchymal-tex vs. TOTBRAIN)	Fold-Change(Mesenchymal-tex vs. TOTBRAIN)	Fold-Change(Mesenchymal-tex vs. TOTBRAIN) (Description)	p-value(Proneural-tex vs. TOTBRAIN)	Ratio(Proneural-tex vs. TOTBRAIN)	Fold-Change(Proneural-tex vs. TOTBRAIN)	Fold-Change(Proneural-tex vs. TOTBRAIN) (Description)	F(Subtype-golden)	SS(Subtype-golden)	SS(Error)	F(Error)
48472	NM_173582 // PGM2L1 // phosphoglucomutase 2-like 1 // 11q13.4 // 283209 /// ENST00000298198 // PGM2L1 // phosphoglucomutase 2-like 1 // 11q13.4 // 283209 /// BC059360 // PGM2L1 // phosphoglucomutase 2-like 1 // 11q13.4 // 283209	PGM2L1	NM_173582	TC11002081.hg.1	5.58443e-014	0.00229473	3.23053	3.23053	Classical-line up vs B10	1.51941e-010	38.8051	38.8051	Mesenchymal-line up vs B10	3.44181e-006	7.87186	7.87186	Proneural-line up vs B10	0.000255234	0.20229	-4.9434	Classical-tex down vs TOTBRAIN	0.00761303	0.331904	-3.01292	Mesenchymal-tex down vs TOTBRAIN	3.33878e-005	0.114339	-8.74594	Proneural-tex down vs TOTBRAIN	37.9545	140.834	12.3687	1
7593	NM_006820 // IFI44L // interferon-induced protein 44-like // 1p31.1 // 10964 /// ENST00000342282 // IFI44L // interferon-induced protein 44-like // 1p31.1 // 10964 /// ENST00000370751 // IFI44L // interferon-induced protein 44-like // 1p31.1 // 10964 /// ENST00000476521 // IFI44L // interferon-induced protein 44-like // 1p31.1 // 10964 /// BC015932 // IFI44L // interferon-induced protein 44-like // 1p31.1 // 10964	IFI44L	NM_006820	TC01000794.hg.1	7.58592e-007	0.75618	0.771672	-1.29589	Classical-line down vs B10	0.000347857	38.6745	38.6745	Mesenchymal-line up vs B10	0.395436	2.08871	2.08871	Proneural-line up vs B10	0.0255803	8.4051	8.4051	Classical-tex up vs TOTBRAIN	0.0678474	5.56532	5.56532	Mesenchymal-tex up vs TOTBRAIN	0.605285	0.578973	-1.7272	Proneural-tex down vs TOTBRAIN	9.87837	202.575	68.3563	1
28583	NM_001159587 // CD109 // CD109 molecule // 6q13 // 135228 /// NM_001159588 // CD109 // CD109 molecule // 6q13 // 135228 /// NM_133493 // CD109 // CD109 molecule // 6q13 // 135228 /// ENST00000287097 // CD109 // CD109 molecule // 6q13 // 135228 /// ENST00000422508 // CD109 // CD109 molecule // 6q13 // 135228 /// ENST00000437994 // CD109 // CD109 molecule // 6q13 // 135228 /// ENST00000474094 // CD109 // CD109 molecule // 6q13 // 135228	CD109	NM_001159587	TC06000737.hg.1	1.8974e-012	0.174242	0.443078	-2.25694	Classical-line down vs B10	3.30808e-006	38.3564	38.3564	Mesenchymal-line up vs B10	0.0108745	5.15665	5.15665	Proneural-line up vs B10	0.0422902	3.89242	3.89242	Classical-tex up vs TOTBRAIN	0.728091	1.25214	1.25214	Mesenchymal-tex up vs TOTBRAIN	0.141741	0.327431	-3.05407	Proneural-tex down vs TOTBRAIN	29.1355	298.74	34.1782	1
18001	NM_002148 // HOXD10 // homeobox D10 // 2q31.1 // 3236 /// ENST00000249501 // HOXD10 // homeobox D10 // 2q31.1 // 3236 /// BC069619 // HOXD10 // homeobox D10 // 2q31.1 // 3236 /// BC074760 // HOXD10 // homeobox D10 // 2q31.1 // 3236	HOXD10	NM_002148	TC02004919.hg.1	1.02952e-015	1.59607e-015	15.8059	15.8059	Classical-line up vs B10	9.96268e-018	38.3403	38.3403	Mesenchymal-line up vs B10	1.59801e-013	10.8955	10.8955	Proneural-line up vs B10	2.50686e-005	2.71605	2.71605	Classical-tex up vs TOTBRAIN	2.679e-011	7.80877	7.80877	Mesenchymal-tex up vs TOTBRAIN	0.00147584	2.25218	2.25218	Proneural-tex up vs TOTBRAIN	50.791	51.1899	3.35951	1
33455	NM_006682 // FGL2 // fibrinogen-like 2 // 7q11.23 // 10875 /// ENST00000248598 // FGL2 // fibrinogen-like 2 // 7q11.23 // 10875 /// BC033820 // FGL2 // fibrinogen-like 2 // 7q11.23 // 10875 /// BC073986 // FGL2 // fibrinogen-like 2 // 7q11.23 // 10875	FGL2	NM_006682	TC07001546.hg.1	1.24984e-012	0.833596	0.905916	-1.10385	Classical-line down vs B10	7.5792e-008	36.7761	36.7761	Mesenchymal-line up vs B10	0.0163367	3.40463	3.40463	Proneural-line up vs B10	0.214154	1.91207	1.91207	Classical-tex up vs TOTBRAIN	0.174964	0.491855	-2.03312	Mesenchymal-tex down vs TOTBRAIN	0.509605	0.674618	-1.48232	Proneural-tex down vs TOTBRAIN	30.0751	195.943	21.7171	1
7594	NM_006417 // IFI44 // interferon-induced protein 44 // 1p31.1 // 10561 /// ENST00000370747 // IFI44 // interferon-induced protein 44 // 1p31.1 // 10561 /// ENST00000495254 // IFI44 // interferon-induced protein 44 // 1p31.1 // 10561 /// ENST00000545124 // IFI44 // interferon-induced protein 44 // 1p31.1 // 10561 /// BC022870 // IFI44 // interferon-induced protein 44 // 1p31.1 // 10561	IFI44	NM_006417	TC01000795.hg.1	1.4495e-008	0.31906	0.531515	-1.88141	Classical-line down vs B10	1.26975e-005	35.2837	35.2837	Mesenchymal-line up vs B10	0.0441396	3.87134	3.87134	Proneural-line up vs B10	0.000547191	14.0622	14.0622	Classical-tex up vs TOTBRAIN	0.00457666	8.11894	8.11894	Mesenchymal-tex up vs TOTBRAIN	0.0347104	5.72862	5.72862	Proneural-tex up vs TOTBRAIN	14.1623	165.161	38.8735	1
9177	NM_002038 // IFI6 // interferon, alpha-inducible protein 6 // 1p35 // 2537 /// NM_022872 // IFI6 // interferon, alpha-inducible protein 6 // 1p35 // 2537 /// NM_022873 // IFI6 // interferon, alpha-inducible protein 6 // 1p35 // 2537 /// ENST00000339145 // IFI6 // interferon, alpha-inducible protein 6 // 1p35 // 2537 /// ENST00000361157 // IFI6 // interferon, alpha-inducible protein 6 // 1p35 // 2537 /// ENST00000362020 // IFI6 // interferon, alpha-inducible protein 6 // 1p35 // 2537 /// BC011601 // IFI6 // interferon, alpha-inducible protein 6 // 1p35 // 2537 /// BC015603 // IFI6 // interferon, alpha-inducible protein 6 // 1p35 // 2537	IFI6	NM_002038	TC01002412.hg.1	2.94986e-008	0.292671	0.516231	-1.93712	Classical-line down vs B10	1.6732e-005	31.8308	31.8308	Mesenchymal-line up vs B10	0.112463	2.83638	2.83638	Proneural-line up vs B10	0.108477	3.06103	3.06103	Classical-tex up vs TOTBRAIN	0.62787	0.718069	-1.39262	Mesenchymal-tex down vs TOTBRAIN	0.877374	0.885576	-1.12921	Proneural-tex down vs TOTBRAIN	13.3094	152.015	38.072	1
21989	NM_016323 // HERC5 // HECT and RLD domain containing E3 ubiquitin protein ligase 5 // 4q22.1 // 51191 /// ENST00000264350 // HERC5 // HECT and RLD domain containing E3 ubiquitin protein ligase 5 // 4q22.1 // 51191 /// ENST00000508159 // HERC5 // HECT and RLD domain containing E3 ubiquitin protein ligase 5 // 4q22.1 // 51191 /// ENST00000508695 // HERC5 // HECT and RLD domain containing E3 ubiquitin protein ligase 5 // 4q22.1 // 51191 /// BC140716 // HERC5 // HECT and RLD domain containing E3 ubiquitin protein ligase 5 // 4q22.1 // 51191	HERC5	NM_016323	TC04000485.hg.1	1.64837e-008	0.921088	0.953775	-1.04847	Classical-line down vs B10	2.54391e-007	30.9467	30.9467	Mesenchymal-line up vs B10	0.003096	4.82714	4.82714	Proneural-line up vs B10	0.0272938	3.33445	3.33445	Classical-tex up vs TOTBRAIN	0.135787	2.21556	2.21556	Mesenchymal-tex up vs TOTBRAIN	0.778028	0.843285	-1.18584	Proneural-tex down vs TOTBRAIN	14.005	94.2087	22.4226	1
28625	NM_001204813 // NT5E // 5'-nucleotidase, ecto (CD73) // 6q14-q21 // 4907 /// NM_002526 // NT5E // 5'-nucleotidase, ecto (CD73) // 6q14-q21 // 4907 /// ENST00000257770 // NT5E // 5'-nucleotidase, ecto (CD73) // 6q14-q21 // 4907 /// ENST00000369646 // NT5E // 5'-nucleotidase, ecto (CD73) // 6q14-q21 // 4907 /// ENST00000369647 // NT5E // 5'-nucleotidase, ecto (CD73) // 6q14-q21 // 4907 /// ENST00000369651 // NT5E // 5'-nucleotidase, ecto (CD73) // 6q14-q21 // 4907 /// BC065937 // NT5E // 5'-nucleotidase, ecto (CD73) // 6q14-q21 // 4907	NT5E	NM_001204813	TC06000779.hg.1	3.2393e-011	0.024368	2.06952	2.06952	Classical-line up vs B10	4.90356e-011	28.5175	28.5175	Mesenchymal-line up vs B10	2.44023e-009	14.1693	14.1693	Proneural-line up vs B10	0.094505	1.78651	1.78651	Classical-tex up vs TOTBRAIN	0.135264	1.67504	1.67504	Mesenchymal-tex up vs TOTBRAIN	0.352136	1.44304	1.44304	Proneural-tex up vs TOTBRAIN	23.395	65.9879	9.40198	1
45013	NM_013451 // MYOF // myoferlin // 10q24 // 26509 /// NM_133337 // MYOF // myoferlin // 10q24 // 26509 /// ENST00000358334 // MYOF // myoferlin // 10q24 // 26509 /// ENST00000359263 // MYOF // myoferlin // 10q24 // 26509 /// ENST00000371488 // MYOF // myoferlin // 10q24 // 26509 /// ENST00000371489 // MYOF // myoferlin // 10q24 // 26509 /// ENST00000371501 // MYOF // myoferlin // 10q24 // 26509 /// ENST00000371502 // MYOF // myoferlin // 10q24 // 26509 /// ENST00000463541 // MYOF // myoferlin // 10q24 // 26509 /// BC052617 // MYOF // myoferlin // 10q24 // 26509	MYOF	NM_013451	TC10001535.hg.1	1.543e-016	0.140869	0.542248	-1.84418	Classical-line down vs B10	2.02686e-008	28.4272	28.4272	Mesenchymal-line up vs B10	0.0320089	2.55974	2.55974	Proneural-line up vs B10	0.00319157	4.14117	4.14117	Classical-tex up vs TOTBRAIN	0.0280013	2.78316	2.78316	Mesenchymal-tex up vs TOTBRAIN	0.661376	0.797369	-1.25412	Proneural-tex down vs TOTBRAIN	58.1969	285.605	16.3586	1
21988	NM_001165136 // HERC6 // HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 // 4q22.1 // 55008 /// NM_017912 // HERC6 // HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 // 4q22.1 // 55008 /// ENST00000264346 // HERC6 // HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 // 4q22.1 // 55008 /// ENST00000273960 // HERC6 // HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 // 4q22.1 // 55008 /// ENST00000380265 // HERC6 // HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 // 4q22.1 // 55008 /// ENST00000438983 // HERC6 // HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 // 4q22.1 // 55008 /// ENST00000511939 // HERC6 // HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 // 4q22.1 // 55008 /// BC042047 // HERC6 // HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 // 4q22.1 // 55008	HERC6	NM_001165136	TC04000484.hg.1	5.05878e-008	0.7251	0.809767	-1.23492	Classical-line down vs B10	1.60874e-005	28.2566	28.2566	Mesenchymal-line up vs B10	0.0603775	3.31407	3.31407	Proneural-line up vs B10	0.126628	2.78192	2.78192	Classical-tex up vs TOTBRAIN	0.301957	0.504615	-1.98171	Mesenchymal-tex down vs TOTBRAIN	0.112508	0.292475	-3.4191	Proneural-tex down vs TOTBRAIN	12.688	134.381	35.3041	1
40999	NM_001163334 // SYTL5 // synaptotagmin-like 5 // Xp21.1 // 94122 /// NM_001163335 // SYTL5 // synaptotagmin-like 5 // Xp21.1 // 94122 /// NM_138780 // SYTL5 // synaptotagmin-like 5 // Xp21.1 // 94122 /// ENST00000297875 // SYTL5 // synaptotagmin-like 5 // Xp21.1 // 94122 /// ENST00000357972 // SYTL5 // synaptotagmin-like 5 // Xp21.1 // 94122 /// ENST00000456733 // SYTL5 // synaptotagmin-like 5 // Xp21.1 // 94122 /// BC131585 // SYTL5 // synaptotagmin-like 5 // Xp21.1 // 94122	SYTL5	NM_001163334	TC0X000175.hg.1	4.33045e-010	0.665039	0.853411	-1.17177	Classical-line down vs B10	3.558e-009	26.1549	26.1549	Mesenchymal-line up vs B10	0.0331257	2.30754	2.30754	Proneural-line up vs B10	0.0686322	0.472363	-2.11701	Classical-tex down vs TOTBRAIN	0.0254431	0.393021	-2.54439	Mesenchymal-tex down vs TOTBRAIN	0.0197919	0.323419	-3.09197	Proneural-tex down vs TOTBRAIN	19.0147	74.8889	13.1282	1
15638	NM_000079 // CHRNA1 // cholinergic receptor, nicotinic, alpha 1 (muscle) // 2q31.1 // 1134 /// NM_001039523 // CHRNA1 // cholinergic receptor, nicotinic, alpha 1 (muscle) // 2q31.1 // 1134 /// ENST00000261007 // CHRNA1 // cholinergic receptor, nicotinic, alpha 1 (muscle) // 2q31.1 // 1134 /// ENST00000348749 // CHRNA1 // cholinergic receptor, nicotinic, alpha 1 (muscle) // 2q31.1 // 1134 /// ENST00000409219 // CHRNA1 // cholinergic receptor, nicotinic, alpha 1 (muscle) // 2q31.1 // 1134 /// ENST00000409323 // CHRNA1 // cholinergic receptor, nicotinic, alpha 1 (muscle) // 2q31.1 // 1134 /// ENST00000409542 // CHRNA1 // cholinergic receptor, nicotinic, alpha 1 (muscle) // 2q31.1 // 1134	CHRNA1	NM_000079	TC02002542.hg.1	7.31897e-007	0.875901	1.08516	1.08516	Classical-line up vs B10	2.90559e-006	26.0881	26.0881	Mesenchymal-line up vs B10	0.168382	2.13062	2.13062	Proneural-line up vs B10	0.811136	1.14686	1.14686	Classical-tex up vs TOTBRAIN	0.794884	1.16078	1.16078	Mesenchymal-tex up vs TOTBRAIN	0.108542	0.337696	-2.96124	Proneural-tex down vs TOTBRAIN	9.91241	79.9856	26.8975	1
62078	NM_017523 // XAF1 // XIAP associated factor 1 // 17p13.1 // 54739 /// NM_199139 // XAF1 // XIAP associated factor 1 // 17p13.1 // 54739 /// ENST00000346752 // XAF1 // XIAP associated factor 1 // 17p13.1 // 54739 /// ENST00000361842 // XAF1 // XIAP associated factor 1 // 17p13.1 // 54739 /// ENST00000431790 // XAF1 // XIAP associated factor 1 // 17p13.1 // 54739 /// ENST00000438512 // XAF1 // XIAP associated factor 1 // 17p13.1 // 54739 /// ENST00000441631 // XAF1 // XIAP associated factor 1 // 17p13.1 // 54739 /// BC073156 // XAF1 // XIAP associated factor 1 // 17p13.1 // 54739	XAF1	NM_017523	TC17000077.hg.1	1.44695e-007	0.934144	1.05252	1.05252	Classical-line up vs B10	3.81526e-005	25.7152	25.7152	Mesenchymal-line up vs B10	0.0235906	4.54161	4.54161	Proneural-line up vs B10	0.0736164	3.48178	3.48178	Classical-tex up vs TOTBRAIN	0.692761	1.30796	1.30796	Mesenchymal-tex up vs TOTBRAIN	0.878203	1.12761	1.12761	Proneural-tex up vs TOTBRAIN	11.5384	130.508	37.7024	1
